abbreviation	school	mascot	division
	Alameda Coast Guard	Sea Lions	?
	Amarillo Field	Sky Giants	?
BEL	Belhaven College	Blazers	?
BEN	Benedict	Tigers	?
	Boston University	Terriers	?
BOW	Bowie State	Bulldogs	?
	Bradley	Braves	?
UCSB	California-Santa Barbara	Gauchos	?
	Cal State Fullerton	Titans	?
	Cal State Los Angeles	Golden Eagles	?
	Camp Grant	Warriors	?
	Carlisle	Indians	?
	Centenary (LA)	Gents	?
CHO	Chowan	Braves	?
	Creighton	Bluejays	?
	Del Monte Pre-Flight	Navyators	?
DU	Denver	Pioneers	?
	Detroit Mercy	Titans	?
DIX	Dixie State	Red Storm	?
	Drury	Panthers	?
	Erskine	The Flying Fleet	?
FINL	Finlandia University	Lions	?
	Fort Benning	Doughboys	?
	Fort Riley	Centaurs	?
	Fort Warren	Broncos	?
	George Washington	Colonials	?
	Georgia Pre-Flight	Skycrackers	?
	Gonzaga	Bulldogs	?
	Great Lakes Navy	Bluejackets	?
	Haskell	Indians	?
	Haverford	Fords	?
HOF	Hofstra	Pride	?
IPF	Iowa Pre-Flight	Seahawks	?
	Jacksonville Naval Air Station	Flyers	?
KEA	Kean	Cougars	?
KCU	Kentucky Christian	Knights	?
KNO	Knox College	Prairie Fire	?
LAKE	Lakeland University	Lakeland	?
LAN	Lane	Dragons	?
	Lombard		?
LBS	Long Beach State	49ers	?
LOR	Loras College	Duhawks 	?
	Loyola (LA)	Wolfpack	?
	Loyola Marymount	Lions	?
	Lubbock Field		?
	Manhattan	Jaspers	?
	March Field	Flyers	?
	Mare Island Marines		?
	Marquette	Golden Eagles	?
MAN	McKendree	Bearcats	?
MIT	MIT	Engineers	?
	Nashville		?
NWU	Nebraska Wesleyan University	Neb Wesleyan	?
	New York University	Violets	?
	Norman Naval Air Station	Zoomers	?
NCPF	North Carolina Pre-Flight	Cloudbusters	?
NE	Northeastern	Huskies	?
	Oglethorpe	Stormy Petrels	?
	Pacific	Tigers	?
	Phillips	Haymakers	?
	Portland	Pilots	?
	Quantico Marines	Devil Dogs	?
	Randolph Field	Ramblers	?
	Regis (CO)	Rangers	?
	Saint Louis	Billikens	?
	Saint Mary's (CA)	Gaels	?
	Saint Mary's (CA) Pre-Flight	Air Devils	?
SF	San Francisco	Dons	?
SC	Santa Clara	Broncos	?
	Second Air Force	Superbombers	?
SHO	Shorter	Hawks	?
SIO	Sioux Falls	Cougars	?
SW	Southwestern University	Pirates	?
	Spring Hill	Badgers	?
	Stevens	Ducks	?
SWAR	Swarthmore	Garnet Tide	?
	Tampa	Spartans	?
TAY	Taylor	Trojans	?
	Tennessee Medical College		?
	Texas-Arlington	Mavericks	?
THI	Thiel College	Tomcats	?
TRN	Trinity International (IL)	Trojans	?
UNI	Union College	Dutchmen	?
	Union (NY)	Dutchmen	?
MAR	University of Mary	Marauders	?
	Vermont	Catamounts	?
VIR	Virginia Union	Panthers	?
	Wesleyan (CT)	Cardinals	?
	Whitman	Missionaries	?
	Wichita State	Shockers	?
	Xavier	Musketeers	?
